Order No,Movie Name,Movie Year,Movie Content URL,Movie Image URL,Movie Discription,Directors,Stars
22,Downton Abbey: A New Era,2022,/title/tt11703710/,"https://m.media-amazon.com/images/M/MV5BZDdjZjM1YWItNWRmOS00OTEzLWJmYjAtOGQzNTAyNmEwNDhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Follow-up to the 2019 feature film in which the Crawley family and Downton staff received a royal visit from the King and Queen of Great Britain.",Simon Curtis,"Hugh Bonneville, 
Jim Carter, 
Michelle Dockery, 
Elizabeth McGovern"
23,Jurassic World: Dominion,2022,/title/tt8041270/,"https://m.media-amazon.com/images/M/MV5BZmQ1NDZjMTktMjFhZC00ZGY5LWEyMTMtNDhkOWM4NmMyZjI0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures in a new Era.",Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Jeff Goldblum"
24,Thar,2022,/title/tt14479746/,"https://m.media-amazon.com/images/M/MV5BOWY1NjE2MzUtYTVjOC00ZDUxLWIwZDUtMzk5YWQ5ODc5YTI5XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY98_CR15,0,67,98_AL_.jpg","
A man who moves to a big town to seek a job and to avenge his past.",Raj Singh Chaudhary,"Anil Kapoor, 
Harshvardhan Kapoor, 
Fatima Sana Shaikh, 
Jitendra Joshi"
25,K.G.F: Chapter 2,2022,/title/tt10698680/,"https://m.media-amazon.com/images/M/MV5BMjMwMDgyOGQtMWZjNC00MDUwLTllZDYtZWM3NDBmN2YzNGZmXkEyXkFqcGdeQXVyMTQzNjkzMzEw._V1_UY98_CR0,0,67,98_AL_.jpg","
In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"Yash, 
Sanjay Dutt, 
Srinidhi Shetty, 
Raveena Tandon"
26,Father of the Bride,2022,/title/tt13249596/,"https://m.media-amazon.com/images/M/MV5BOGQwMjA2NzItNmJjYS00MDQ4LWJiZmYtNjgyZjFlNTY0MjQ0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
A father's coming to grips with his daughter's upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American clan.",Gary Alazraki,"Adria Arjona, 
Isabela Merced, 
Andy Garcia, 
Laura Harring"
27,Don't Worry Darling,2022,/title/tt10731256/,"https://m.media-amazon.com/images/M/MV5BOWIyNDA2YjEtZGNhNy00YjY1LTk5ZDctNmEyMzQxZTQyYjAwXkEyXkFqcGdeQXVyMTIzNDk1MDYz._V1_UX67_CR0,0,67,98_AL_.jpg","
A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.",Olivia Wilde,"Timothy Simons, 
Florence Pugh, 
Olivia Wilde, 
Chris Pine"
28,Hustle,2022,/title/tt8009428/,"https://m.media-amazon.com/images/M/MV5BYjdhYTE3NjMtZjI3OC00NzVlLWFiNTUtNzQ3NDNiNTI3NDg4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg","
A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.",Jeremiah Zagar,"Adam Sandler, 
Ben Foster, 
Andrea Sooch, 
Robert Duvall"
29,Morbius,2022,/title/tt5108870/,"https://m.media-amazon.com/images/M/MV5BNTA3N2Q0ZTAtODJjNy00MmQzLWJlMmItOGFmNDI0ODgxN2QwXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_UX67_CR0,0,67,98_AL_.jpg","
Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Daniel Espinosa,"Jared Leto, 
Matt Smith, 
Adria Arjona, 
Jared Harris"
30,Moonfall,2022,/title/tt5834426/,"https://m.media-amazon.com/images/M/MV5BZjk0OWZiN2ItNmQ2YS00NTJmLTg0MjItNzM4NzBkMWM1ZTRlXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY98_CR1,0,67,98_AL_.jpg","
A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.",Roland Emmerich,"Halle Berry, 
Patrick Wilson, 
John Bradley, 
Charlie Plummer"
31,The Outfit,2022,/title/tt14114802/,"https://m.media-amazon.com/images/M/MV5BYWQ0NWUyMjktYjg4Yy00NmY3LTg2YzEtNWY5OTY5YTc2MjhjXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_UX67_CR0,0,67,98_AL_.jpg","
An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.",Graham Moore,"Zoey Deutch, 
Dylan O'Brien, 
Johnny Flynn, 
Mark Rylance"
32,Men,2022,/title/tt13841850/,"https://m.media-amazon.com/images/M/MV5BZGQ2ZDNiMjgtMTNhNS00MjUxLWFkYTMtYTI1OTE0MmQ2MmJkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.",Alex Garland,"Jessie Buckley, 
Rory Kinnear, 
Paapa Essiedu, 
Gayle Rankin"
33,Elvis,2022,/title/tt3704428/,"https://m.media-amazon.com/images/M/MV5BNjhiODE0ZjktYzVhYS00ODRlLTkwZjYtYjRlNjg5YzI1MzZlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg","
A look at the life of the legendary rock and roll star, Elvis Presley.",Baz Luhrmann,"Tom Hanks, 
Austin Butler, 
Olivia DeJonge, 
Dacre Montgomery"
34,Crimes of the Future,2022,/title/tt14549466/,"https://m.media-amazon.com/images/M/MV5BZDdjODNkMmYtYjMwNS00NTQzLThlYjUtODY2ZjdjNTNlY2JiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",David Cronenberg,"Viggo Mortensen, 
Léa Seydoux, 
Kristen Stewart, 
Don McKellar"
35,The Adam Project,2022,/title/tt2463208/,"https://m.media-amazon.com/images/M/MV5BOWM0YWMwMDQtMjE5NS00ZTIwLWE1NWEtODViMWZjMWI2OTU3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg","
After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Shawn Levy,"Ryan Reynolds, 
Walker Scobell, 
Mark Ruffalo, 
Jennifer Garner"
36,Memory,2022,/title/tt11827628/,"https://m.media-amazon.com/images/M/MV5BOGI5N2FhNzktZjZlNi00MmRjLWE1MmUtNjRlNzQyOGMzYjNhXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","
An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.",Martin Campbell,"Liam Neeson, 
Monica Bellucci, 
Guy Pearce, 
Ray Stevenson"
37,Turning Red,2022,/title/tt8097030/,"https://m.media-amazon.com/images/M/MV5BOWYxZDMxYWUtNjNiZC00MDE1LWI2Y2QtNWZhNDAyMGY5ZjVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","
A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.",Domee Shi,"Rosalie Chiang, 
Sandra Oh, 
Ava Morse, 
Hyein Park"
38,The Gray Man,2022,/title/tt1649418/,"https://m.media-amazon.com/images/M/MV5BYTVjZDBhYjQtZWNmZS00ZDk4LTgzZmMtNTBjMjRhYTcxOTg5XkEyXkFqcGdeQXVyNjQ5MTU1ODc@._V1_UY98_CR83,0,67,98_AL_.jpg","
When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","Anthony Russo, 
Joe Russo","Ana de Armas, 
Chris Evans, 
Ryan Gosling, 
Jessica Henwick"
39,Scream,2022,/title/tt11245972/,"https://m.media-amazon.com/images/M/MV5BYjExYTcwYmYtMWY2Zi00MGJlLTk3YjUtZTU1Zjg4MDc0Y2FjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","
25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.","Matt Bettinelli-Olpin, 
Tyler Gillett","Neve Campbell, 
Courteney Cox, 
David Arquette, 
Melissa Barrera"
40,Gangubai Kathiawadi,2022,/title/tt10083340/,"https://m.media-amazon.com/images/M/MV5BN2M4NDM2NDItMzgzNy00OWRiLThhNjEtZDA2OWMyNTcwYzRjXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY98_CR5,0,67,98_AL_.jpg","
A woman becomes a powerful underworld figure.",Sanjay Leela Bhansali,"Alia Bhatt, 
Shantanu Maheshwari, 
Vijay Raaz, 
Indira Tiwari"
41,The Contractor,2022,/title/tt10323676/,"https://m.media-amazon.com/images/M/MV5BOWQ3MDg1MTgtMmI4ZC00YjU3LWIyZGEtNmRkNzI0Y2QyN2ExXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","
A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.",Tarik Saleh,"Chris Pine, 
Gillian Jacobs, 
Sander Thomas, 
Toby Dixon"
